Program Year,Program,SFA ID,SFA Name,Claim Date,Meal Type,Number of Sites/Centers/Providers,Total Enrolled,Number of Operating/Serving Days,Free Meals Served,Reduced Price Meals Served,Paid Meals Served,Total Meals Served,Non-Program Adult Meals,Average Daily Attendance (ADA)
2019 - 2020,School Nutrition Programs,139,Salem City Public Schools,11/01/2019,3. Lunch,6,"3,946",18,"16,780","3,216","17,359","37,355",,"3,779"
2019 - 2020,School Nutrition Programs,139,Salem City Public Schools,12/01/2019,1. Breakfast,6,"3,951",15,"7,133","1,279","2,843","11,255",,"3,784"
2019 - 2020,School Nutrition Programs,139,Salem City Public Schools,12/01/2019,3. Lunch,6,"3,951",15,"13,825","2,681","14,528","31,034",,"3,784"
2019 - 2020,School Nutrition Programs,139,Salem City Public Schools,01/01/2020,1. Breakfast,6,"3,953",19,"9,178","1,725","3,824","14,727",,"3,785"
2019 - 2020,School Nutrition Programs,139,Salem City Public Schools,01/01/2020,3. Lunch,6,"3,953",19,"17,506","3,541","18,382","39,429",,"3,785"
2019 - 2020,School Nutrition Programs,139,Salem City Public Schools,02/01/2020,1. Breakfast,6,"3,965",19,"9,319","1,852","3,444","14,615",,"3,797"
2019 - 2020,School Nutrition Programs,139,Salem City Public Schools,02/01/2020,3. Lunch,6,"3,965",19,"17,627","3,683","18,056","39,366",,"3,797"
2019 - 2020,School Nutrition Programs,139,Salem City Public Schools,03/01/2020,1. Breakfast,6,"3,975",9,"4,649",911,"1,814","7,374",,"3,807"
2019 - 2020,School Nutrition Programs,139,Salem City Public Schools,03/01/2020,3. Lunch,6,"3,975",9,"8,458","1,621","8,627","18,706",,"3,807"
2019 - 2020,School Nutrition Programs,14,Buchanan County Public Schools,09/01/2019,1. Breakfast,8,"2,666",20,"26,509",0,"5,011","31,520",,"2,579"
2019 - 2020,School Nutrition Programs,14,Buchanan County Public Schools,09/01/2019,3. Lunch,8,"2,666",20,"34,986",0,"6,614","41,600",,"2,579"
2019 - 2020,School Nutrition Programs,14,Buchanan County Public Schools,10/01/2019,1. Breakfast,8,"2,673",23,"29,783",0,"5,630","35,413",,"2,565"
2019 - 2020,School Nutrition Programs,14,Buchanan County Public Schools,10/01/2019,3. Lunch,8,"2,673",23,"39,897",0,"7,542","47,439",,"2,565"
2019 - 2020,School Nutrition Programs,14,Buchanan County Public Schools,11/01/2019,1. Breakfast,8,"2,666",12,"15,249",0,"2,883","18,132",,"2,541"
2019 - 2020,School Nutrition Programs,14,Buchanan County Public Schools,11/01/2019,3. Lunch,8,"2,666",12,"21,207",0,"4,010","25,217",,"2,541"
2019 - 2020,School Nutrition Programs,14,Buchanan County Public Schools,12/01/2019,1. Breakfast,8,"2,725",12,"13,424",0,"2,538","15,962",,"2,580"
2019 - 2020,School Nutrition Programs,14,Buchanan County Public Schools,12/01/2019,3. Lunch,8,"2,725",12,"19,940",0,"3,771","23,711",,"2,580"
2019 - 2020,School Nutrition Programs,14,Buchanan County Public Schools,01/01/2020,1. Breakfast,8,"2,641",17,"19,503",0,"3,687","23,190",,"2,514"
2019 - 2020,School Nutrition Programs,14,Buchanan County Public Schools,01/01/2020,3. Lunch,8,"2,641",17,"28,094",0,"5,311","33,405",,"2,514"
2019 - 2020,School Nutrition Programs,14,Buchanan County Public Schools,02/01/2020,1. Breakfast,8,"2,640",13,"15,364",0,"2,903","18,267",,"2,513"
2019 - 2020,School Nutrition Programs,14,Buchanan County Public Schools,02/01/2020,3. Lunch,8,"2,640",13,"21,411",0,"4,047","25,458",,"2,513"
2019 - 2020,School Nutrition Programs,14,Buchanan County Public Schools,03/01/2020,1. Breakfast,8,"2,684",10,"9,559",0,"1,807","11,366",,"2,546"
2019 - 2020,School Nutrition Programs,14,Buchanan County Public Schools,03/01/2020,3. Lunch,8,"2,684",10,"12,994",0,"2,457","15,451",,"2,546"
2019 - 2020,School Nutrition Programs,142,Poquoson City Public Schools,09/01/2019,1. Breakfast,4,"2,096",19,"1,319",235,"2,184","3,738",,"2,022"
2019 - 2020,School Nutrition Programs,142,Poquoson City Public Schools,09/01/2019,3. Lunch,4,"2,096",19,"2,878",503,"8,290","11,671",,"2,022"
2019 - 2020,School Nutrition Programs,142,Poquoson City Public Schools,10/01/2019,1. Breakfast,4,"2,124",23,"1,820",265,"3,431","5,516",,"2,040"
2019 - 2020,School Nutrition Programs,142,Poquoson City Public Schools,10/01/2019,3. Lunch,4,"2,124",23,"3,501",536,"10,636","14,673",,"2,040"
2019 - 2020,School Nutrition Programs,142,Poquoson City Public Schools,11/01/2019,1. Breakfast,4,"2,130",17,"1,421",183,"2,587","4,191",,"2,033"
2019 - 2020,School Nutrition Programs,142,Poquoson City Public Schools,11/01/2019,3. Lunch,4,"2,130",16,"2,828",406,"8,495","11,729",,"2,033"
2019 - 2020,School Nutrition Programs,142,Poquoson City Public Schools,12/01/2019,1. Breakfast,4,"2,120",15,"1,251",140,"2,093","3,484",,"2,023"
2019 - 2020,School Nutrition Programs,142,Poquoson City Public Schools,12/01/2019,3. Lunch,4,"2,120",15,"2,636",390,"7,833","10,859",,"2,023"
2019 - 2020,School Nutrition Programs,142,Poquoson City Public Schools,01/01/2020,1. Breakfast,4,"2,140",18,"1,570",172,"2,492","4,234",,"2,025"
2019 - 2020,School Nutrition Programs,142,Poquoson City Public Schools,01/01/2020,3. Lunch,4,"2,140",15,"2,752",409,"7,790","10,951",,"2,025"
2019 - 2020,School Nutrition Programs,142,Poquoson City Public Schools,02/01/2020,1. Breakfast,4,"2,137",19,"1,909",148,"2,762","4,819",,"2,022"
2019 - 2020,School Nutrition Programs,142,Poquoson City Public Schools,02/01/2020,3. Lunch,4,"2,137",19,"3,964",444,"9,597","14,005",,"2,022"
2019 - 2020,School Nutrition Programs,142,Poquoson City Public Schools,03/01/2020,1. Breakfast,4,"2,140",10,"1,054",74,"1,620","2,748",,"2,023"
2019 - 2020,School Nutrition Programs,142,Poquoson City Public Schools,03/01/2020,3. Lunch,4,"2,140",10,"1,889",217,"4,699","6,805",,"2,023"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,09/01/2019,1. Breakfast,9,"7,778",20,"24,723","3,524","6,125","34,372",,"7,389"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,09/01/2019,3. Lunch,9,"7,778",20,"59,520","9,584","19,924","89,028",,"7,389"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,10/01/2019,1. Breakfast,9,"7,847",23,"29,053","3,662","10,462","43,177",,"7,454"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,10/01/2019,3. Lunch,9,"7,847",23,"63,548","9,520","29,654","102,722",,"7,454"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,11/01/2019,1. Breakfast,9,"7,808",16,"23,604","2,999","7,808","34,411",,"7,417"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,11/01/2019,3. Lunch,9,"7,808",16,"46,504","6,911","18,955","72,370",,"7,417"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,12/01/2019,1. Breakfast,9,"7,776",15,"21,317","2,676","6,521","30,514",,"7,387"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,12/01/2019,3. Lunch,9,"7,776",15,"42,528","6,331","16,314","65,173",,"7,388"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,12/01/2019,4. PM Snack,1,14,3,21,0,0,21,,13
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,01/01/2020,1. Breakfast,9,"7,760",18,"27,729","3,379","8,430","39,538",,"7,373"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,01/01/2020,3. Lunch,9,"7,760",18,"51,227","7,394","18,842","77,463",,"7,373"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,01/01/2020,4. PM Snack,2,49,7,141,0,0,141,,46
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,02/01/2020,1. Breakfast,9,"7,741",20,"32,306","3,622","8,910","44,838",,"7,356"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,02/01/2020,3. Lunch,9,"7,741",20,"59,175","7,706","19,616","86,497",,"7,356"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,02/01/2020,4. PM Snack,4,273,10,426,0,0,426,,258
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,03/01/2020,1. Breakfast,9,"7,733",9,"14,459","1,596","3,717","19,772",,"7,348"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,03/01/2020,3. Lunch,9,"7,733",9,"26,410","3,372","8,126","37,908",,"7,348"
2019 - 2020,School Nutrition Programs,143,Manassas City Public Schools,03/01/2020,4. PM Snack,4,301,5,781,0,0,781,,285
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,09/01/2019,1. Breakfast,4,"3,648",20,"14,178","2,292","3,146","19,616",,"3,438"
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,09/01/2019,3. Lunch,4,"3,648",20,"30,340","5,638","10,387","46,365",,"3,438"
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,10/01/2019,1. Breakfast,4,"3,670",21,"15,469","2,279","3,869","21,617",,"3,483"
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,10/01/2019,3. Lunch,4,"3,670",21,"33,088","5,516","12,454","51,058",,"3,483"
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,11/01/2019,1. Breakfast,4,"3,668",16,"11,663","1,633","2,678","15,974",,"3,459"
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,11/01/2019,3. Lunch,4,"3,668",16,"24,860","4,008","9,271","38,139",,"3,459"
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,12/01/2019,1. Breakfast,4,"3,643",15,"10,496","1,382","2,295","14,173",,"3,378"
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,12/01/2019,3. Lunch,4,"3,643",15,"23,483","3,649","8,263","35,395",,"3,378"
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,01/01/2020,1. Breakfast,4,"3,658",17,"12,117","1,458","2,472","16,047",,"3,394"
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,01/01/2020,3. Lunch,4,"3,658",17,"25,905","3,607","8,297","37,809",,"3,394"
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,02/01/2020,1. Breakfast,4,"3,641",19,"14,987","1,693","2,939","19,619",,"3,453"
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,02/01/2020,3. Lunch,4,"3,641",19,"31,781","4,104","9,661","45,546",,"3,453"
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,02/01/2020,4. PM Snack,1,501,4,636,0,0,636,,162
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,03/01/2020,1. Breakfast,4,"3,651",10,"8,833","1,022","1,796","11,651",,"3,527"
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,03/01/2020,3. Lunch,4,"3,651",10,"16,253","2,152","4,893","23,298",,"3,527"
2019 - 2020,School Nutrition Programs,144,Manassas Park City Public Schools,03/01/2020,4. PM Snack,1,187,2,322,0,0,322,,161
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,09/01/2019,1. Breakfast,5,"2,097",20,"17,544",297,"3,985","21,826",,"1,980"
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,09/01/2019,3. Lunch,5,"2,097",20,"20,406",725,"5,620","26,751",,"1,980"
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,09/01/2019,4. PM Snack,2,172,6,525,0,0,525,,88
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,10/01/2019,1. Breakfast,5,"2,088",21,"18,289",315,"4,210","22,814",,"1,966"
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,10/01/2019,3. Lunch,5,"2,088",21,"21,026",682,"6,049","27,757",,"1,966"
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,10/01/2019,4. PM Snack,2,179,11,"1,181",0,0,"1,181",,108
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,11/01/2019,1. Breakfast,5,"2,087",18,"15,505",282,"3,612","19,399",,"1,946"
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,11/01/2019,3. Lunch,5,"2,087",18,"17,887",598,"5,061","23,546",,"1,946"
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,11/01/2019,4. PM Snack,2,179,11,"1,004",0,0,"1,004",,94
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,12/01/2019,1. Breakfast,5,"2,097",12,"10,037",177,"2,320","12,534",,"1,966"
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,12/01/2019,3. Lunch,5,"2,097",13,"13,356",401,"3,706","17,463",,"1,966"
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,12/01/2019,4. PM Snack,2,179,4,322,0,0,322,,85
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,01/01/2020,1. Breakfast,5,"2,087",19,"15,228",283,"3,491","19,002",,"1,926"
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,01/01/2020,3. Lunch,5,"2,087",20,"19,717",598,"5,425","25,740",,"1,926"
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,01/01/2020,4. PM Snack,2,179,8,751,0,0,751,,95
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,02/01/2020,1. Breakfast,5,"2,080",20,"15,909",267,"3,534","19,710",,"1,913"
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,02/01/2020,3. Lunch,5,"2,080",20,"19,945",458,"5,258","25,661",,"1,913"
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,02/01/2020,4. PM Snack,2,179,12,"1,027",0,0,"1,027",,88
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,03/01/2020,1. Breakfast,5,"2,077",9,"7,075",116,"1,608","8,799",,"1,927"
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,03/01/2020,3. Lunch,5,"2,077",9,"9,122",195,"2,450","11,767",,"1,927"
2019 - 2020,School Nutrition Programs,15,Buckingham County Public Schools,03/01/2020,4. PM Snack,2,179,6,441,0,0,441,,76
2019 - 2020,School Nutrition Programs,16,Campbell County Public Schools,09/01/2019,1. Breakfast,14,"7,869",19,"26,850","4,641","9,925","41,416",,"7,557"
2019 - 2020,School Nutrition Programs,16,Campbell County Public Schools,09/01/2019,3. Lunch,14,"7,869",19,"43,732","8,088","25,099","76,919",,"7,557"
2019 - 2020,School Nutrition Programs,16,Campbell County Public Schools,10/01/2019,1. Breakfast,14,"7,872",21,"29,533","5,345","11,767","46,645",,"7,513"
2019 - 2020,School Nutrition Programs,16,Campbell County Public Schools,10/01/2019,3. Lunch,14,"7,872",21,"47,256","8,886","29,541","85,683",,"7,513"
2019 - 2020,School Nutrition Programs,16,Campbell County Public Schools,11/01/2019,1. Breakfast,14,"7,910",16,"23,542","4,149","8,728","36,419",,"7,500"
2019 - 2020,School Nutrition Programs,16,Campbell County Public Schools,11/01/2019,3. Lunch,14,"7,910",16,"37,324","6,782","22,607","66,713",,"7,500"
2019 - 2020,School Nutrition Programs,16,Campbell County Public Schools,12/01/2019,1. Breakfast,14,"7,902",14,"20,278","3,176","6,825","30,279",,"7,434"
2019 - 2020,School Nutrition Programs,16,Campbell County Public Schools,12/01/2019,3. Lunch,14,"7,902",15,"36,733","5,952","20,284","62,969",,"7,434"
2019 - 2020,School Nutrition Programs,16,Campbell County Public Schools,01/01/2020,1. Breakfast,14,"7,901",17,"24,370","3,829","8,180","36,379",,"7,475"
2019 - 2020,School Nutrition Programs,16,Campbell County Public Schools,01/01/2020,3. Lunch,14,"7,901",17,"42,327","6,773","22,901","72,001",,"7,475"
2019 - 2020,School Nutrition Programs,16,Campbell County Public Schools,02/01/2020,1. Breakfast,14,"7,893",20,"29,933","4,348","9,566","43,847",,"7,360"
2019 - 2020,School Nutrition Programs,16,Campbell County Public Schools,02/01/2020,3. Lunch,14,"7,893",20,"50,439","7,669","26,515","84,623",,"7,360"
2019 - 2020,School Nutrition Programs,16,Campbell County Public Schools,03/01/2020,1. Breakfast,14,"7,882",10,"15,516","2,326","7,784","25,626",,"7,610"
2019 - 2020,School Nutrition Programs,16,Campbell County Public Schools,03/01/2020,3. Lunch,14,"7,882",10,"24,870","3,742","13,067","41,679",,"7,610"
2019 - 2020,School Nutrition Programs,17,Caroline County Public Schools,09/01/2019,1. Breakfast,5,"4,257",20,"16,432","3,308","5,292","25,032",,"4,014"
2019 - 2020,School Nutrition Programs,17,Caroline County Public Schools,09/01/2019,3. Lunch,5,"4,257",20,"25,950","5,553","13,890","45,393",,"4,014"
2019 - 2020,School Nutrition Programs,17,Caroline County Public Schools,10/01/2019,1. Breakfast,5,"4,270",21,"17,489","3,111","5,796","26,396",,"4,005"
2019 - 2020,School Nutrition Programs,17,Caroline County Public Schools,10/01/2019,3. Lunch,5,"4,270",21,"27,510","5,573","14,740","47,823",,"4,005"
2019 - 2020,School Nutrition Programs,17,Caroline County Public Schools,11/01/2019,1. Breakfast,5,"4,261",17,"14,511","2,625","4,806","21,942",,"3,996"
2019 - 2020,School Nutrition Programs,17,Caroline County Public Schools,11/01/2019,3. Lunch,5,"4,261",17,"22,785","4,471","12,457","39,713",,"3,996"
2019 - 2020,School Nutrition Programs,17,Caroline County Public Schools,12/01/2019,1. Breakfast,5,"4,286",14,"11,002","2,030","3,454","16,486",,"4,003"
2019 - 2020,School Nutrition Programs,17,Caroline County Public Schools,12/01/2019,3. Lunch,5,"4,286",14,"18,876","3,734","10,236","32,846",,"4,003"
2019 - 2020,School Nutrition Programs,17,Caroline County Public Schools,01/01/2020,1. Breakfast,5,"4,282",19,"15,108","2,563","4,641","22,312",,"4,010"
2019 - 2020,School Nutrition Programs,17,Caroline County Public Schools,01/01/2020,3. Lunch,5,"4,282",19,"25,670","4,711","13,239","43,620",,"4,010"
2019 - 2020,School Nutrition Programs,17,Caroline County Public Schools,02/01/2020,1. Breakfast,5,"4,265",18,"16,047","2,413","4,509","22,969",,"3,988"
2019 - 2020,School Nutrition Programs,17,Caroline County Public Schools,02/01/2020,3. Lunch,5,"4,265",18,"25,665","4,110","11,867","41,642",,"3,988"
2019 - 2020,School Nutrition Programs,17,Caroline County Public Schools,03/01/2020,1. Breakfast,5,"4,229",8,"6,913","1,038","2,087","10,038",,"3,958"
2019 - 2020,School Nutrition Programs,17,Caroline County Public Schools,03/01/2020,3. Lunch,5,"4,229",8,"11,099","1,702","5,438","18,239",,"3,958"
2019 - 2020,School Nutrition Programs,18,Carroll County Public Schools,09/01/2019,1. Breakfast,10,"3,717",20,"20,747","3,167","6,862","30,776",,"3,576"
2019 - 2020,School Nutrition Programs,18,Carroll County Public Schools,09/01/2019,3. Lunch,10,"3,717",20,"30,649","5,101","14,600","50,350",,"3,576"
2019 - 2020,School Nutrition Programs,18,Carroll County Public Schools,09/01/2019,4. PM Snack,1,70,15,753,0,0,753,,51
2019 - 2020,School Nutrition Programs,18,Carroll County Public Schools,10/01/2019,1. Breakfast,10,"3,728",20,"20,135","2,932","7,109","30,176",,"3,555"
2019 - 2020,School Nutrition Programs,18,Carroll County Public Schools,10/01/2019,3. Lunch,10,"3,728",20,"29,533","4,858","15,549","49,940",,"3,555"
2019 - 2020,School Nutrition Programs,18,Carroll County Public Schools,10/01/2019,4. PM Snack,1,70,12,746,0,0,746,,63
2019 - 2020,School Nutrition Programs,18,Carroll County Public Schools,11/01/2019,1. Breakfast,10,"3,728",17,"17,587","2,560","6,016","26,163",,"3,572"
2019 - 2020,School Nutrition Programs,18,Carroll County Public Schools,11/01/2019,3. Lunch,10,"3,728",17,"25,678","4,352","13,972","44,002",,"3,572"
